"Сокращение";"Расшифровка"
"ГИИС";"Государственная Интегрированная Информационная Система"
"ГИС";"Государственная Информационная Система"
"ИС";"Информационная Система"
"ПОИБ СОБИ";"Подсистема Обеспечения Информационной Безопасности Системы Обеспечения Безопасности Информации"
"СКЗИ";"Средства Криптографической Защиты Информации"
"CSP";"Crypto Service Provider (Криптопровайдер, СКЗИ)"
"СЗИ";"Средства Защиты Информации"
"ЭП";"Электронная Подпись"
"[У]КЭП";"[Усиленная] Квалифицированная Электронная Подпись"
"[У]НЭП";"[Усиленная] Неквалифицированная Электронная Подпись"
"УЦ";"Удостоверяющий Центр"
"ЦС";"Центр Сертификации (тоже самое, что и УЦ, но этот термин используется в PKI и Windows)"
"ГУЦ";"Головной Удостоверяющий Центр"
"МДВ";"Метка Доверенного Времени"
"ДТС";"Доверенная Третья Сторона (Trusted Third Party, TTP)"
"CRL";"Certificate Revocation List (Список Отозванных Сертификатов, иногда вместо `Отозванных` можно встретить слово `Аннулированных`)"
"CDP";"CRL Distribution Point (Точка распространения Списка Отозванных Сертификатов)"
"OCSP";"Online Certificate Status Protocol (Протокол онлайн-статуса сертификата)"
"TSP";"Time Stamp Protocol"
"TLS";"Transport Layer Security (Протокол защиты транспортного уровня)"
"MiTM";"Man In The Middle (человек посередине, посредник, атака посредника)"
"RNG";"Random Number Generator (см. ДСЧ)"
"ДСЧ";"Датчик Случайных Чисел"
